,Referencia,Descripcion,Familia Padre,Familia,Subfamilia,Stock Fisico,Stock Operativo,Stock Comercial,Mar,Puerto,Despachado
74,2236,Horno de sobremesa Bake&Toast 2800 Black,PAE Cocina,Hornos eléctricos,Hornos de sobremesa,679,679,679,0,0,0
75,6723,Flow 1500 HealthConfort 90x190,Descanso,Descanso,Descanso,30,30,30,0,0,30
76,2607,TV V1Z+ series VQU11055Z+S,Gama Marrón,Televisores,Televisores QLED,106,104,104,0,0,0
77,5983,Ventilador de techo EnergySilence Aero 5290 Golden Pro,Cuidado del aire,Ventilación,Ventiladores de techo,3379,3375,3375,0,0,600
78,5558,Aspirador de trineo Conga PopStar 4000 Ultimate,Aspiración y Limpieza,Aspiradores trineo,Aspiradores trineo sin bolsa,641,638,638,0,0,0
79,1524,microondas 20l Pro Clean 3030,PAE Cocina,Microondas,Microondas solo,3274,3212,3212,0,0,0
80,5373,Emisor térmico Ready Warm 1200 Thermal Connected,Cuidado del aire,Calefacción,Emisores térmicos,3218,3207,3207,0,0,0
81,5854,Fregona Eléctrica Conga Rockstar 29600 Aqua&Collect,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,12,-2,-2,0,0,0
98,2715,Vinoteca Bolero GrandSommelier 34030 Black Compressor,GAE,Vinotecas,Vinotecas,326,326,326,0,0,0
99,2201,Horno combi grill,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,155,40,40,0,0,0
101,3081,Raclette Cheese&Grill 6000 BLACK,PAE Cocina,Fun Cooking,Raclettes,3191,3191,3191,0,0,0
102,3095,Plancha de cocina Tasty&Grill 2000 Inox MixStone,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2269,2268,2268,0,0,0
103,3167,Sartén Polka Platinum 18 Bucket Thunder,Menaje,Sartenes y Ollas,Sartenes,478,472,472,0,0,0
104,3198,Plancha eléctrica Tasty&Grill 2500 BlackWater MixGrill,PAE Cocina,Planchas eléctricas,Planchas eléctricas,2697,2697,2697,0,0,0
105,3199,Plancha eléctrica Tasty&Grill 2500 RockWater MixGrill,PAE Cocina,Planchas eléctricas,Planchas eléctricas,2681,2681,2681,0,0,0
107,4336,Báscula de baño Surface Precision Healthy (Exclusivo Consum),Cuidado personal,Básculas,Básculas de baño sin APP,8384,8384,8384,0,0,0
108,5402,Hidrolimpiadora HidroBoost 1600 Car&Bike,Aspiración y Limpieza,Hidrolimpiadoras,Hidrolimpiadoras a presión,134,134,134,0,0,0
109,1652,Cafetera espresso Cafelizzia 790 White Pro,PAE Cocina,Cafeteras,Cafeteras express,4646,4642,4642,0,0,0
110,5813,Ready Warm 2250 Curved Flames Connected,Cuidado del aire,Calefacción,Chimeneas,447,446,446,0,0,0
111,5889,ReadyWarm 9000 Space 360 Black,Cuidado del aire,Calefacción,Radiadores de aceite,1022,998,998,0,0,0
112,5966,Ventilador de techo EnergySilence Aero 3600 Vision Orange,Cuidado del aire,Ventilación,Ventiladores de techo,1072,1072,1072,0,0,0
113,5967,Ventilador de techo EnergySilence Aero 3600 Vision Mint,Cuidado del aire,Ventilación,Ventiladores de techo,30,30,30,0,0,0
114,5977,Ventilador de techo EnergySilence Aero 5250 White Design,Cuidado del aire,Ventilación,Ventiladores de techo,123,121,121,0,0,0
115,8020,Fuente de chocolate Fun Chocolicious,PAE Cocina,Fun Cooking,Fuentes de chocolate,2733,2730,2730,0,0,0
117,7489,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 4900 Medida 90x190. Multicapa,Descanso,Descanso,Descanso,19,12,12,0,0,60
119,5376,Emisor térmico Ready Warm 2500 Thermal Connected,Cuidado del aire,Calefacción,Emisores térmicos,69,69,69,0,0,0
120,8779,Colchón Flow Two + 120x200,Descanso,Descanso,Descanso,3,3,3,0,0,0
121,7727,Colchón Flow 8900 Hybrid 150x200,Descanso,Descanso,Descanso,72,72,72,0,0,36
122,5461,Robot limpiacristales Conga WinDroid 970,Aspiración y Limpieza,Robots,Robots limpiacristales,2251,2248,2248,0,0,0
123,8700,Colchón Flow ViscoCare 1900 110x200,Descanso,Descanso,Descanso,3,3,3,0,0,12
124,2034,Olla programable Modelo H Ovall,PAE Cocina,Ollas,Ollas GM,201,188,188,0,0,0
125,8021,Cortafiambres Rock’nCut,PAE Cocina,Cortafiambres,Cortafiambres de metal,56,47,47,0,0,0
130,2677,Frigorifico Bolero CoolMarket 2D 261 White,GAE,Frigoríficos,Frigoríficos retro,180,180,180,0,0,0
157,1787,Mosquito killer ByeFly 1000 Paddle,Cuidado del aire,Tratamiento del aire,Mosquitos Killer,2008,2008,2008,0,0,0
197,3154,Sartén Polka Exclusive 20 Bucket Wood&Rock,Menaje,Sartenes y Ollas,Sartenes,43,43,43,0,0,0
207,5071,Deposito de polvo con filtro hepa para conga Slim y Slim 890,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1,1,1,0,0,0
210,6460,Recolax grafeno 180 180,Descanso,Descanso,Descanso,1,1,1,0,0,0
213,6545,Recolax cloud sense topper 140 200,Descanso,Descanso,Descanso,1,1,1,0,0,0
219,6672,Colchón Flow ViscoPlus Fresh&Clean 7000 105x190,Descanso,Descanso,Descanso,6,6,6,0,0,0
220,6673,Colchón Flow ViscoAdapt Fresh&Clean 7500 105x190,Descanso,Descanso,Descanso,4,4,4,0,0,0
221,6674,Colchón Flow ViscoLuxe Fresh&Clean 7900 105x190,Descanso,Descanso,Descanso,5,5,5,0,0,0
227,6683,ColchÛn Flow HybridLuxe Fresh 6900 105x200,Descanso,Descanso,Descanso,6,6,6,0,0,0
228,6684,ColchÛn Flow ViscoPlus Fresh&Clean 7000 105x200,Descanso,Descanso,Descanso,1,1,1,0,0,0
234,6695,ColchÛn Flow HybridLuxe Fresh 6900 135x200,Descanso,Descanso,Descanso,5,5,5,0,0,2
240,7402,Colchón Flow FoamEssence 2000 160x190,Descanso,Descanso,Descanso,1,1,1,0,0,0
244,7407,ColchÛn Flow HybridLuxe Fresh 6900 160x190,Descanso,Descanso,Descanso,6,6,6,0,0,0
255,7425,ColchÛn Flow HybridSpring Fresh 6000 180x190,Descanso,Descanso,Descanso,1,1,1,0,0,0
256,7426,ColchÛn Flow HybridLuxe Fresh 6900 180x190,Descanso,Descanso,Descanso,6,6,6,0,0,2
259,7433,Colchón Flow FoamEssence 2000 180x200,Descanso,Descanso,Descanso,1,1,1,0,0,0
264,7438,ColchÛn Flow HybridLuxe Fresh 6900 180x200,Descanso,Descanso,Descanso,4,4,4,0,0,2
265,7439,ColchÛn Flow ViscoPlus Fresh&Clean 7000 180x200,Descanso,Descanso,Descanso,1,1,1,0,0,0
279,7548,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 5900 Medida 105x190. Multicapa,Descanso,Descanso,Descanso,40,40,40,0,0,0
280,4207,Secador de viaje básico Bamba IoniCare 5400 Power&Go Black,Cuidado personal,Secadores de pelo,Secadores de pelo DC,44,6,6,0,0,0
281,6671,Colchón Flow HybridLuxe Fresh 6900 105x190,Descanso,Descanso,Descanso,34,34,34,0,0,0
287,1672,Cafetera italiana de aluminio Cumbia Moklassic 900 Shiny,PAE Cocina,Cafeteras,Cafeteras italianas,1752,1746,1746,0,0,0
288,3171,Sartén Polka Platinum 26 Bucket Thunder,Menaje,Sartenes y Ollas,Sartenes,64,55,55,0,0,0
289,7736,Colchón Flow Original 105X190,Descanso,Descanso,Descanso,11,11,11,0,0,0
290,7753,Colchón Flow Genuine 90x200,Descanso,Descanso,Descanso,6,6,6,0,0,0
291,7759,Colchón Flow e-Hybrid 90x200,Descanso,Descanso,Descanso,14,14,14,0,0,0
292,7763,Colchón Flow e-Hybrid 150x200,Descanso,Descanso,Descanso,6,6,6,0,0,0
299,4202,Secador AC Bamba IoniCare 5300 Maxi Aura,Cuidado personal,Secadores de pelo,Secadores de pelo AC,30,29,29,0,0,0
303,4296,Plancha del pelo cerámica Bamba RitualCare 1000 Ceramic 2in1,Cuidado personal,Planchas de pelo,Planchas de pelo 2 en 1,32,20,20,0,0,1515
307,7738,ColchónFlow Original 150x190,Descanso,Descanso,Descanso,37,37,37,0,0,0
311,4032,Olla programable modelo F 16L Plus,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,92,92,92,0,0,0
312,5085,"	Robot limpiacristales Conga WinDroid Excellence",Aspiración y Limpieza,Robots,Robots limpiacristales,10,10,10,0,0,0
323,7552,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 5900 Medida 150x190. Multicapa,Descanso,Descanso,Descanso,18,10,10,0,0,29
324,7712,Colchón Flow 6900 Hybrid 105X190,Descanso,Descanso,Descanso,46,41,41,0,0,0
325,7761,Colchón Flow e-Hybrid 135x190,Descanso,Descanso,Descanso,25,14,14,0,0,3
336,7596,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 4900 Medida 105x190. Multicapa,Descanso,Descanso,Descanso,1,1,1,0,0,19
342,7730,Colchón Flow One 105X190,Descanso,Descanso,Descanso,2,2,2,0,0,0
344,7584,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 3900 Medida 105x190. Multicapa,Descanso,Descanso,Descanso,9,6,6,0,0,36
346,1180,Utensilios de Cocina Polka Experience Vulcano,Menaje,Utensilios de cocina,Utensilios de cocina,100,100,100,0,0,0
347,7589,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 3900 Medida 150x200. Multicapa,Descanso,Descanso,Descanso,20,14,14,0,0,0
348,7607,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 4900 Medida 90x200. Multicapa,Descanso,Descanso,Descanso,13,13,13,0,0,9
349,7715,Colchón Flow 6900 Hybrid 150x200,Descanso,Descanso,Descanso,15,9,9,0,0,0
350,1128,Olla baja Polka Fantasy 28 Low Pot Silver,Menaje,Sartenes y Ollas,Ollas y cazos,863,863,863,0,0,318
351,5631,Humidificador BreezeCare 2600 Light Smart,Cuidado del aire,Tratamiento del aire,Humidificadores,1222,1218,1218,0,0,0
355,2691,Frigorífico Bolero MiniCooling 4L Río White,GAE,Frigoríficos,Frigoríficos retro,492,492,492,0,0,0
356,2692,Frigorífico Bolero MiniCooling 4L Río Black,GAE,Frigoríficos,Frigoríficos retro,422,422,422,0,0,0
357,2694,Frigorífico Bolero MiniCooling 4L Río Cream,GAE,Frigoríficos,Frigoríficos retro,488,488,488,0,0,0
358,7873,ALMOHADA FLOW LUXURY 90 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,130,130,130,0,0,0
359,4216,Rizador automático Bamba SurfCare 800 Magic Waves Pro,Cuidado personal,Rizadores de pelo,Rizadores de pelo automáticos cable,3312,3285,3285,0,0,0
362,4121,BATIDORA power twist 500 gyro,PAE Cocina,Batidoras,Batidoras de varillas,3943,3934,3934,0,0,0
364,5593,Funda de Tabla de planchar StrongBoard 400 Borneo,Cuidado de la ropa,Accesorios de planchado,Fundas tablas de planchar,1281,1263,1263,0,0,0
365,3825,Horno grill eléctrico para pizza Fun Pizza&Co Mamma Mía,Cuidado de la ropa,,Cuchillos,974,974,974,0,0,0
366,5644,Difusor de aroma PureAroma 550 Connected Sky,Cuidado del aire,Tratamiento del aire,Humidificadores,777,777,777,0,0,0
367,4313,Freidora de aceite Cleanfry Luxury 3000 Dark,PAE Cocina,Freidoras,Freidoras con aceite,1687,1670,1670,0,0,0
369,7748,Colchón Flow Two 105X190,Descanso,Descanso,Descanso,18,18,18,0,0,0
370,3826,Horno grill eléctrico para pizza Fun Pizza&Co Mamma Mía Vista,Cuidado de la ropa,,Cuchillos,1000,1000,1000,0,0,0
371,5996,Ventilador de techo EnergySilence Aero 4250 DC Fresh,Cuidado del aire,Ventilación,Ventiladores de techo,55,55,55,0,0,0
373,4256,Envasadora al vacío SealVac 120 SteelCut,PAE Cocina,Envasadoras al vacio,Envasadoras al vacio,7492,6585,6585,0,0,0
374,1590,Cafetera semiautomática Cumbia Power Instant-ccino 20 Chic Serie Nera,PAE Cocina,Cafeteras,Cafeteras semiautomáticas,136,115,115,0,0,0
376,7755,Colchón Flow Genuine 135x190,Descanso,Descanso,Descanso,13,13,13,0,0,0
377,1583,Cafetera espresso Cafelizzia 790 Shiny,PAE Cocina,Cafeteras,Cafeteras express,2360,2338,2338,0,0,0
378,7879,Colchón Flow PureVital 2900 200x200,Descanso,Descanso,Descanso,16,16,16,0,0,3
379,7931,Colchón Flow PureVital 1900 110x190,Descanso,Descanso,Descanso,5,3,3,0,0,13
380,2346,Lavadora Bolero DressCode 1500 Autodosis,GAE,Lavadoras y secadoras,Lavadoras autodosis,153,130,130,0,0,0
381,5297,"Ventilador, calefactor y Purificador de aire TotalPure 3in1 Vision",Cuidado del aire,Tratamiento del aire,Purificadores de aire,919,919,919,0,0,0
382,5946,Ventilador de techo EnergySilence Aero 550,Cuidado del aire,Ventilación,Ventiladores de techo,2649,2647,2647,0,0,0
383,3160,Set de Sartenes Polka Exclusive 20-24-28 Bucket Set Wood&Rock,Menaje,Sartenes y Ollas,Set de sartenes,470,466,466,0,0,0
384,70016,Destornillador multifunción CecoRaptor Perfect MultiWork 360 Ultra,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1393,1393,1393,0,0,0
385,70001,Taladro CecoRaptor Perfect Drill 4020 Brushless Ultra,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,716,716,716,0,0,0
386,7384,Topper Flow TopDeluxe 150x200,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,21,21,21,0,0,25
387,1594,Cafetera semiatuomática Cumbia Power Instant-ccino 20 Chic Serie Bianca,PAE Cocina,Cafeteras,Cafeteras semiautomáticas,133,133,133,0,0,0
388,3062,Grill de alta temperatura Txuletaco 8000 Inferno,PAE Cocina,Barbacoas,Barbacoas eléctricas,175,175,175,0,0,0
389,7932,Colchón Flow PureVital 1900 110x200,Descanso,Descanso,Descanso,3,3,3,0,0,2
390,8244,Ventilador y Purificador de aire TotalPure 2in1 MoonStyle,Cuidado del aire,Tratamiento del aire,Purificadores de aire,270,270,270,0,0,0
391,8249,Ventilador y Purificador de aire TotalPure 2in1 MoonStyle Dark,Cuidado del aire,Tratamiento del aire,Purificadores de aire,285,285,285,0,0,0
393,7718,Colchón Flow 7900 Hybrid 105X190,Descanso,Descanso,Descanso,65,60,60,0,0,133
395,4110,Licuadora StrongTitanium 19000 XXL,PAE Cocina,Licuadoras,Licuadoras orbitales,1452,1408,1408,0,0,0
399,7946,Colchón Flow PureVital 3900 110x200,Descanso,Descanso,Descanso,2,2,2,0,0,3
404,7948,Colchón Flow PureVital 3900 120x200,Descanso,Descanso,Descanso,13,13,13,0,0,11
406,8172,Aire acondicionado portátil ForceClima 7500 Soundless Connected,Cuidado del aire,Ventilación,Aires acondicionados portátiles,1,0,0,0,0,0
407,7572,Cecotec Colchón Viscoelástico VisComfort+ Flow PureVital 2900 Medida 105x190. Multicapa,Descanso,Descanso,Descanso,3,3,3,0,0,9
408,5863,Fregona eléctrica FreeGo Wash&Vacuum,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1553,1550,1550,0,0,0
409,7960,Colchón Flow PureVital 5900 110x200,Descanso,Descanso,Descanso,1,1,1,0,0,6
411,8674,Colchón Flow Hybrid 120x200,Descanso,Descanso,Descanso,1,1,1,0,0,0
412,2606,TV V1Z+ series VQU11055Z+,Gama Marrón,Televisores,Televisores QLED,193,183,183,0,0,0
413,5680,Aspirador vertical digital Conga Rockstar 2000 Ultimate ErgoWet Connected,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,151,151,151,0,0,0
415,7075,Bicicleta Indoor DrumFit Indoor 20000 Spin Master,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,202,202,202,0,0,0
417,7597,Colchón Flow PureVital 8990 90x190,Descanso,Descanso,Descanso,36,36,36,0,0,36
418,2614,TV A2 series ALU20050,Gama Marrón,Televisores,Televisores LED,384,384,384,0,0,0
419,7088,Bicicleta elíptica DrumFit Elliptical 9000 Eir Pro,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2,1,1,0,0,196
420,2598,TV A2Z series ALU20050Z,Gama Marrón,Televisores,Televisores LED,210,209,209,0,0,0
421,2594,TV A2 series ALU20055,Gama Marrón,Televisores,Televisores LED,460,423,423,0,0,0
422,1675,Microondas sin plato GrandHeat 2500 Flatbed Touch White,PAE Cocina,Microondas,Microondas sin plato,391,386,386,0,0,0
423,2600,TV A2Z series ALU20055Z,Gama Marrón,Televisores,Televisores LED,461,461,461,0,0,0
424,1389,Microondas encastrable GrandHeat 2350 Built-In Steel Black,PAE Cocina,Microondas,Microondas encastrables con plato,248,241,241,0,0,0
425,5719,Hidrolimpiadora HydroBoost 2000,Aspiración y Limpieza,Hidrolimpiadoras,Hidrolimpiadoras a presión,57,56,56,0,0,0
426,5886,ReadyWarm 7000 Space 360,Cuidado del aire,Calefacción,Radiadores de aceite,5932,5928,5928,0,0,0
428,2376,Lavadora Bolero DressCode 121000 Steel,GAE,Lavadoras y secadoras,Lavadoras de carga frontal,437,436,436,0,0,0
429,2569,TV Cecotec V1+ series VQU11065+,Gama Marrón,Televisores,Televisores QLED,113,103,103,0,0,0
431,5826,Ready Warm 10150 Smart Ceramic Pro,Cuidado del aire,Calefacción,Calefactores cerámicos de sobremesa,3,-9,-9,0,0,0
432,7576,Cecotec Colchón Viscoelástico VisComfort+ Flow PureVital 2900 Medida 150x190. Multicapa,Descanso,Descanso,Descanso,18,0,0,0,0,90
433,5868,Robot aspirador Conga 7290 Eternal Home X-Treme,Aspiración y Limpieza,Robots,Robots aspiradores,1,0,0,0,0,0
434,7550,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 5900 Medida 135x190. Multicapa,Descanso,Descanso,Descanso,25,17,17,0,0,91
438,2626,TV LED A3 series ALH30043S,Gama Marrón,Televisores,Televisores LED,736,736,736,0,0,0
439,7079,Cinta de correr DrumFit WayHome 1400 Runner Vibration,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,582,571,571,0,0,0
444,3113,Barbacoa eléctrica PerfectCountry 2000 EasyMove,PAE Cocina,Barbacoas,Barbacoas eléctricas,1,0,0,0,0,0
445,5920,Ventilador de torre EnergySilence 890 Skyline,Cuidado del aire,Ventilación,Ventiladores de torre,201,161,161,0,0,0
446,1544,microondas 30l con grill pro clean 9110 full inox,PAE Cocina,Microondas,Microondas con grill,1130,1128,1128,0,0,0
448,5317,Convector Ready Warm 6600 Turbo Convection Design,Cuidado del aire,Calefacción,Convectores,2046,2011,2011,0,0,0
449,5375,Emisor térmico Ready Warm 2000 Thermal Connected,Cuidado del aire,Calefacción,Emisores térmicos,2989,2971,2971,0,0,0
450,7801,Radiador de aceite Ready Warm 5000 Space Black,Cuidado del aire,Calefacción,Radiadores de aceite,45,45,45,0,0,0
451,5312,Calefactor cerámico Ready Warm 6200 Ceramic Sky,Cuidado del aire,Calefacción,Calefactores cerámicos de pie,2965,2965,2965,0,0,0
452,5814,Ready Warm 2650 Curved Flames Connected,Cuidado del aire,Calefacción,Chimeneas,1166,1160,1160,0,0,0
453,5833,Ready Warm 8800 Outdoor Microclimate,Cuidado del aire,Calefacción,Calefactores de exterior,532,500,500,0,0,0
454,5881,ReadyWarm 7000 Space Black,Cuidado del aire,Calefacción,Radiadores de aceite,214,183,183,0,0,0
455,5313,Calefactor cerámico Ready Warm 10000 Top Ceramic,Cuidado del aire,Calefacción,Calefactores cerámicos de pie,95,83,83,0,0,0
456,5330,Emisor térmico 4 elementos Ready Warm 800 Thermal,Cuidado del aire,Calefacción,Emisores térmicos,5109,5103,5103,0,0,0
457,5372,Emisor térmico Ready Warm 800 Thermal Connected,Cuidado del aire,Calefacción,Emisores térmicos,4033,4018,4018,0,0,0
458,1506,Cafetera Power Instant-ccino 20,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1229,1229,1229,0,0,0
459,2228,Panificadora Bread&Co 1000 Delicious,PAE Cocina,Panificadoras,Panificadoras,3,3,3,0,0,0
461,2235,Horno de sobremesa Bake&Toast 2400 White,PAE Cocina,Hornos eléctricos,Hornos de sobremesa,7,3,3,0,0,0
464,5374,Emisor térmico Ready Warm 1800 Thermal Connected,Cuidado del aire,Calefacción,Emisores térmicos,4087,4070,4070,0,0,0
465,2572,TV Cecotec A series ALU00043,Gama Marrón,Televisores,Televisores LED,1,-4,-4,0,0,0
466,5379,Toallero eléctrico Ready Warm 9100 Smart Towel White,Cuidado del aire,Calefacción,Toalleros eléctricos,817,810,810,0,0,0
469,2591,TV A series ALH00032NS,Gama Marrón,Televisores,Televisores LED,5,5,5,0,0,0
470,5314,Calefactor cerámico medio VERTICAL Digital 2400W KPT-2000 5165L,Cuidado del aire,Calefacción,Calefactores cerámicos de pie,2,-39,-39,0,0,0
471,5329,Calefactor cerámico Ready Warm 5250 Swing Box Ceramic,Cuidado del aire,Calefacción,Calefactores de pared,8,3,3,0,0,0
472,5597,Aspirador trineo Conga Rockstar 2700 Vital,Aspiración y Limpieza,Aspiradores trineo,Aspiradores trineo sin bolsa,3,3,3,0,0,0
473,5318,Convector cristal Ready Warm 6650 Crystal Connection,Cuidado del aire,Calefacción,Convectores,1598,1587,1587,0,0,0
474,5885,ReadyWarm 11000 Space Black,Cuidado del aire,Calefacción,Radiadores de aceite,120,93,93,0,0,0
475,7800,Radiador de aceite Ready Warm 5000 Space,Cuidado del aire,Calefacción,Radiadores de aceite,2960,2960,2960,0,0,0
476,7554,Colchón Flow PureVital 3990 135x190,Descanso,Descanso,Descanso,50,50,50,0,0,76
477,5852,Fregona eléctrica The Weti Wash&Vacuum Spray,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,396,357,357,0,0,0
478,5652,BigDry 4000 Expert Connected,Cuidado del aire,Tratamiento del aire,Deshumidificadores,80,-7,-7,0,0,0
481,7900,Colchón Flow ViscoCare 1900 80x200,Descanso,Descanso,Descanso,7,7,7,0,0,0
483,7372,Topper Flow TopCloud 150x200,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,14,14,14,0,0,15
484,2720,Lavadora Bolero DressCode 9300 Inverter A,GAE,Lavadoras y secadoras,Lavadoras de carga frontal,1156,0,0,0,0,0
486,2506,Placa Bolero Squad I 3000 FullFlex,GAE,Placas de inducción,Placa de inducción portátil,29,-43,-43,0,0,0
490,2247,Horno de sobremesa Bake&Toast 4500 Black Gyro,PAE Cocina,Hornos eléctricos,Hornos de sobremesa,3,-4,-4,0,0,0
493,5654,BigDry 9000 Professional Connected,Cuidado del aire,Tratamiento del aire,Deshumidificadores,523,511,511,0,0,0
